"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3672","Validate the completed form","chromium","Wed Nov 27 18:09:21 BRT 2024","passed","Wed Nov 27 18:09:24 BRT 2024","Validate Form","ui\specs\validatePracticeForm.spec.ts","",""
"","149","02 - POST NEW CATEGORY","chromium","Wed Nov 27 18:34:37 BRT 2024","passed","Wed Nov 27 18:34:37 BRT 2024","Validate API","api\specs\categoriesAPITESTANDO.spec.ts","",""
"","148","04 - PUT CATEGORY","chromium","Wed Nov 27 18:35:46 BRT 2024","passed","Wed Nov 27 18:35:46 BRT 2024","Validate API","api\specs\categoriesAPI.spec.ts","",""
"","0","04 - PUT UfSER","chromium","Wed Nov 27 18:29:56 BRT 2024","skipped","Wed Nov 27 18:29:56 BRT 2024","Validate API","api\specs\userAPITESTANDO.spec.ts","",""
"","0","07 - POST UfSER WITH INVALID E-MAIL","chromium","Wed Nov 27 18:29:56 BRT 2024","skipped","Wed Nov 27 18:29:56 BRT 2024","Validate API","api\specs\userAPITESTANDO.spec.ts","",""
"","145","04 - PUT USER","chromium","Wed Nov 27 18:34:38 BRT 2024","passed","Wed Nov 27 18:34:38 BRT 2024","Validate API","api\specs\userAPITESTANDO.spec.ts","",""
"","141","03 - GET CATEGORY BY ID","chromium","Wed Nov 27 18:34:37 BRT 2024","passed","Wed Nov 27 18:34:38 BRT 2024","Validate API","api\specs\categoriesAPITESTANDO.spec.ts","",""
"","144","05 - DELETE CATEGORY","chromium","Wed Nov 27 18:34:38 BRT 2024","passed","Wed Nov 27 18:34:38 BRT 2024","Validate API","api\specs\categoriesAPITESTANDO.spec.ts","",""
"","511","01 - GET ALL CATEGORIES","chromium","Wed Nov 27 18:17:48 BRT 2024","passed","Wed Nov 27 18:17:48 BRT 2024","Validate API","api\specs\categoriesAPITESTANDO.spec.ts","",""
"","140","05 - DELETE CATEGORY","chromium","Wed Nov 27 18:35:46 BRT 2024","passed","Wed Nov 27 18:35:46 BRT 2024","Validate API","api\specs\categoriesAPI.spec.ts","",""
